Tool,Rate 1,Rate 2
AMBUR,0.212103695,0.212103695
AMBUR,0.21191358,0.21191358
AMBUR,0.210111909,0.210111909
AMBUR,0.207303775,0.207303775
AMBUR,0.204495641,0.204495641
AMBUR,0.190454972,0.190454972
AMBUR,0.187646838,0.187646838
AMBUR,0.184838704,0.184838704
AMBUR,0.171211755,0.171211755
AMBUR,0.168530669,0.168530669
AMBUR,0.165849583,0.165849583
AMBUR,0.163168498,0.163168498
AMBUR,0.152105416,0.152105416
AMBUR,0.150434717,0.150434717
AMBUR,0.148764018,0.148764018
AMBUR,0.142081222,0.142081222
AMBUR,0.140410523,0.140410523
AMBUR,0.138739824,0.138739824
AMBUR,0.137069126,0.137069126
AMBUR,0.12871563,0.12871563
AMBUR,0.127044932,0.127044932
AMBUR,0.125374233,0.125374233
AMBUR,0.117020738,0.117020738
AMBUR,0.115350039,0.115350039
AMBUR,0.11367934,0.11367934
AMBUR,0.105325845,0.105325845
AMBUR,0.104761062,0.104761062
AMBUR,0.104836127,0.104836127
AMBUR,0.10521145,0.10521145
AMBUR,0.105286515,0.105286515
AMBUR,0.105361579,0.105361579
AMBUR,0.105736902,0.105736902
AMBUR,0.105811967,0.105811967
AMBUR,0.105887031,0.105887031
AMBUR,0.106262354,0.106262354
AMBUR,0.106337419,0.106337419
AMBUR,0.106412484,0.106412484
AMBUR,0.111790022,0.111790022
AMBUR,0.113518435,0.113518435
AMBUR,0.115246849,0.115246849
AMBUR,0.123888913,0.123888913
AMBUR,0.125617326,0.125617326
AMBUR,0.127345739,0.127345739
AMBUR,0.127713233,0.127713233
AMBUR,0.126037358,0.126037358
AMBUR,0.124361483,0.124361483
AMBUR,0.115982109,0.115982109
AMBUR,0.114306234,0.114306234
AMBUR,0.112630359,0.112630359
AMBUR,0.110954485,0.110954485
AMBUR,0.104250985,0.104250985
AMBUR,0.10257511,0.10257511
AMBUR,0.100899235,0.100899235
AMBUR,0.099223361,0.099223361
AMBUR,0.092519861,0.092519861
AMBUR,0.090843986,0.090843986
AMBUR,0.089168112,0.089168112
AMBUR,0.088393759,0.088393759
AMBUR,0.085929834,0.085929834
AMBUR,0.085437048,0.085437048
AMBUR,0.084944263,0.084944263
AMBUR,0.089513539,0.089513539
AMBUR,0.091861393,0.091861393
AMBUR,0.094209246,0.094209246
AMBUR,0.105948512,0.105948512
AMBUR,0.108296366,0.108296366
AMBUR,0.110644219,0.110644219
AMBUR,0.11415649,0.11415649
AMBUR,0.114810509,0.114810509
AMBUR,0.115464529,0.115464529
AMBUR,0.118734627,0.118734627
AMBUR,0.119388646,0.119388646
AMBUR,0.120042666,0.120042666
AMBUR,0.123312763,0.123312763
AMBUR,0.123966783,0.123966783
AMBUR,0.124620803,0.124620803
AMBUR,0.128423555,0.128423555
AMBUR,0.129558052,0.129558052
AMBUR,0.130692548,0.130692548
AMBUR,0.136365032,0.136365032
AMBUR,0.137499529,0.137499529
AMBUR,0.138634026,0.138634026
AMBUR,0.14430651,0.14430651
AMBUR,0.145441007,0.145441007
AMBUR,0.146575504,0.146575504
AMBUR,0.140357062,0.140357062
AMBUR,0.137136709,0.137136709
AMBUR,0.133916355,0.133916355
AMBUR,0.130696002,0.130696002
AMBUR,0.111138814,0.111138814
AMBUR,0.105577797,0.105577797
AMBUR,0.10001678,0.10001678
AMBUR,0.072211693,0.072211693
AMBUR,0.066650676,0.066650676
AMBUR,0.061089658,0.061089658
AMBUR,0.055528641,0.055528641
AMBUR,0.033284571,0.033284571
AMBUR,0.027723554,0.027723554
AMBUR,0.022162537,0.022162537
AMBUR,0.01660152,0.01660152
AMBUR,0.011203567,0.011203567
AMBUR,0.016764584,0.016764584
AMBUR,0.022325602,0.022325602
AMBUR,0.033573858,0.033573858
AMBUR,0.267918134,0.267918134
AMBUR,0.260409579,0.260409579
AMBUR,0.258986831,0.258986831
AMBUR,0.257564083,0.257564083
AMBUR,0.250450344,0.250450344
AMBUR,0.249027596,0.249027596
AMBUR,0.247604848,0.247604848
AMBUR,0.2461821,0.2461821
AMBUR,0.240491108,0.240491108
AMBUR,0.23906836,0.23906836
AMBUR,0.237645612,0.237645612
AMBUR,0.230531873,0.230531873
AMBUR,0.229109124,0.229109124
AMBUR,0.227686377,0.227686377
AMBUR,0.220509391,0.220509391
AMBUR,0.217375554,0.217375554
AMBUR,0.214241717,0.214241717
AMBUR,0.21110788,0.21110788
AMBUR,0.198572533,0.198572533
AMBUR,0.195438696,0.195438696
AMBUR,0.192304859,0.192304859
AMBUR,0.189171023,0.189171023
AMBUR,0.176635675,0.176635675
AMBUR,0.172134771,0.172134771
AMBUR,0.166334349,0.166334349
AMBUR,0.160533927,0.160533927
AMBUR,0.137332237,0.137332237
AMBUR,0.131531815,0.131531815
AMBUR,0.125731392,0.125731392
AMBUR,0.11993097,0.11993097
AMBUR,0.107690212,0.107690212
AMBUR,0.106181458,0.106181458
AMBUR,0.104672705,0.104672705
AMBUR,0.103163951,0.103163951
AMBUR,0.097128937,0.097128937
AMBUR,0.095620184,0.095620184
AMBUR,0.09411143,0.09411143
AMBUR,0.092602677,0.092602677
AMBUR,0.086567663,0.086567663
AMBUR,0.08505891,0.08505891
AMBUR,0.083550156,0.083550156
AMBUR,0.082041403,0.082041403
AMBUR,0.075675843,0.075675843
AMBUR,0.072604424,0.072604424
AMBUR,0.069533005,0.069533005
AMBUR,0.066461586,0.066461586
AMBUR,0.05110449,0.05110449
AMBUR,0.048033071,0.048033071
AMBUR,0.044961652,0.044961652
AMBUR,0.032675975,0.032675975
AMBUR,0.029604556,0.029604556
AMBUR,0.026533136,0.026533136
AMBUR,0.023461717,0.023461717
AMBUR,0.021276621,0.021276621
AMBUR,0.021342647,0.021342647
AMBUR,0.021408674,0.021408674
AMBUR,0.021738804,0.021738804
AMBUR,0.021804831,0.021804831
AMBUR,0.021870856,0.021870856
AMBUR,0.021936882,0.021936882
AMBUR,0.022200987,0.022200987
AMBUR,0.022267013,0.022267013
AMBUR,0.022333039,0.022333039
AMBUR,0.022399066,0.022399066
AMBUR,0.02266317,0.02266317
AMBUR,0.022666011,0.022666011
AMBUR,0.022784802,0.022784802
AMBUR,0.026693554,0.026693554
AMBUR,0.027475304,0.027475304
AMBUR,0.028257055,0.028257055
AMBUR,0.029038805,0.029038805
AMBUR,0.032165806,0.032165806
AMBUR,0.032947557,0.032947557
AMBUR,0.033729307,0.033729307
AMBUR,0.034511057,0.034511057
AMBUR,0.036338199,0.036338199
AMBUR,0.036703802,0.036703802
AMBUR,0.037069405,0.037069405
AMBUR,0.037435008,0.037435008
AMBUR,0.039030819,0.039030819
AMBUR,0.039495695,0.039495695
AMBUR,0.039960571,0.039960571
AMBUR,0.040425447,0.040425447
AMBUR,0.04228495,0.04228495
AMBUR,0.042749826,0.042749826
AMBUR,0.043214702,0.043214702
AMBUR,0.043679578,0.043679578
AMBUR,0.045539082,0.045539082
AMBUR,0.046003958,0.046003958
AMBUR,0.046468834,0.046468834
AMBUR,0.04693371,0.04693371
AMBUR,0.054854987,0.054854987
AMBUR,0.056494745,0.056494745
AMBUR,0.058134503,0.058134503
AMBUR,0.064693537,0.064693537
AMBUR,0.066333295,0.066333295
AMBUR,0.067973054,0.067973054
AMBUR,0.069612812,0.069612812
AMBUR,0.077811604,0.077811604
AMBUR,0.079451362,0.079451362
AMBUR,0.081091121,0.081091121
AMBUR,0.089289913,0.089289913
AMBUR,0.091183998,0.091183998
AMBUR,0.094293469,0.094293469
AMBUR,0.09740294,0.09740294
AMBUR,0.109840822,0.109840822
AMBUR,0.112950293,0.112950293
AMBUR,0.116059763,0.116059763
AMBUR,0.119169233,0.119169233
AMBUR,0.131607116,0.131607116
AMBUR,0.134716587,0.134716587
AMBUR,0.137826057,0.137826057
AMBUR,0.140935527,0.140935527
AMBUR,0.15337341,0.15337341
AMBUR,0.15648288,0.15648288
AMBUR,0.159592351,0.159592351
AMBUR,0.162701822,0.162701822
AMBUR,0.175139704,0.175139704
AMBUR,0.174262805,0.174262805
AMBUR,0.173284,0.173284
AMBUR,0.172305194,0.172305194
AMBUR,0.168389974,0.168389974
AMBUR,0.166299667,0.166299667
AMBUR,0.163654578,0.163654578
AMBUR,0.161009489,0.161009489
AMBUR,0.150429133,0.150429133
AMBUR,0.147784044,0.147784044
AMBUR,0.145138954,0.145138954
AMBUR,0.142493866,0.142493866
AMBUR,0.13191351,0.13191351
AMBUR,0.12926842,0.12926842
AMBUR,0.126623332,0.126623332
AMBUR,0.123978242,0.123978242
AMBUR,0.113397886,0.113397886
AMBUR,0.110752797,0.110752797
AMBUR,0.108107708,0.108107708
AMBUR,0.105462619,0.105462619
AMBUR,0.094882263,0.094882263
AMBUR,0.092237174,0.092237174
AMBUR,0.08991699,0.08991699
AMBUR,0.08981224,0.08981224
AMBUR,0.090948659,0.090948659
AMBUR,0.091232765,0.091232765
AMBUR,0.091516869,0.091516869
AMBUR,0.091800974,0.091800974
AMBUR,0.093221499,0.093221499
AMBUR,0.093505604,0.093505604
AMBUR,0.093789709,0.093789709
AMBUR,0.095210233,0.095210233
AMBUR,0.095494338,0.095494338
AMBUR,0.095778443,0.095778443
AMBUR,0.097198967,0.097198967
AMBUR,0.097483072,0.097483072
AMBUR,0.097767177,0.097767177
AMBUR,0.10295466,0.10295466
AMBUR,0.104910768,0.104910768
AMBUR,0.106866875,0.106866875
AMBUR,0.108822983,0.108822983
AMBUR,0.116647413,0.116647413
AMBUR,0.118603521,0.118603521
AMBUR,0.120559629,0.120559629
AMBUR,0.122515736,0.122515736
AMBUR,0.130340167,0.130340167
AMBUR,0.132296274,0.132296274
AMBUR,0.134252382,0.134252382
AMBUR,0.13620849,0.13620849
AMBUR,0.14403292,0.14403292
AMBUR,0.145989028,0.145989028
AMBUR,0.147945135,0.147945135
AMBUR,0.149901243,0.149901243
AMBUR,0.157725673,0.157725673
AMBUR,0.159681781,0.159681781
AMBUR,0.161637888,0.161637888
AMBUR,0.163593996,0.163593996
AMBUR,0.171337566,0.171337566
AMBUR,0.17316169,0.17316169
AMBUR,0.174985814,0.174985814
AMBUR,0.176809938,0.176809938
AMBUR,0.178618944,0.178618944
AMBUR,0.17607399,0.17607399
AMBUR,0.173529036,0.173529036
AMBUR,0.170984082,0.170984082
AMBUR,0.160804266,0.160804266
AMBUR,0.158259312,0.158259312
AMBUR,0.155714358,0.155714358
AMBUR,0.153169404,0.153169404
AMBUR,0.142989588,0.142989588
AMBUR,0.140444634,0.140444634
AMBUR,0.13789968,0.13789968
AMBUR,0.135354726,0.135354726
AMBUR,0.122629956,0.122629956
AMBUR,0.120085002,0.120085002
AMBUR,0.117540048,0.117540048
AMBUR,0.105284294,0.105284294
AMBUR,0.103141136,0.103141136
AMBUR,0.100997979,0.100997979
AMBUR,0.090282192,0.090282192
AMBUR,0.088139035,0.088139035
AMBUR,0.085995877,0.085995877
AMBUR,0.07659642,0.07659642
AMBUR,0.075528041,0.075528041
AMBUR,0.074459661,0.074459661
AMBUR,0.073391282,0.073391282
AMBUR,0.069117766,0.069117766
AMBUR,0.068049386,0.068049386
AMBUR,0.066981008,0.066981008
AMBUR,0.065912628,0.065912628
AMBUR,0.061639112,0.061639112
AMBUR,0.060570732,0.060570732
AMBUR,0.059502353,0.059502353
AMBUR,0.058433974,0.058433974
AMBUR,0.054160457,0.054160457
AMBUR,0.053092079,0.053092079
AMBUR,0.052023699,0.052023699
AMBUR,0.05095532,0.05095532
AMBUR,0.045841968,0.045841968
AMBUR,0.044203237,0.044203237
AMBUR,0.042564506,0.042564506
AMBUR,0.040925776,0.040925776
AMBUR,0.034370854,0.034370854
AMBUR,0.032732123,0.032732123
AMBUR,0.031093393,0.031093393
AMBUR,0.029454662,0.029454662
AMBUR,0.021361831,0.021361831
AMBUR,0.019064975,0.019064975
AMBUR,0.016655052,0.016655052
AMBUR,0.012238463,0.012238463
AMBUR,0.005427895,0.005427895
AMBUR,0.009844484,0.009844484
AMBUR,0.014261073,0.014261073
AMBUR,0.018677663,0.018677663
AMBUR,0.036344021,0.036344021
AMBUR,0.04076061,0.04076061
AMBUR,0.0420347,0.0420347
AMBUR,0.042733514,0.042733514
AMBUR,0.045528769,0.045528769
AMBUR,0.042974323,0.042974323
AMBUR,0.0400859,0.0400859
AMBUR,0.037197477,0.037197477
AMBUR,0.025643785,0.025643785
AMBUR,0.022635364,0.022635364
AMBUR,0.019596349,0.019596349
AMBUR,0.016557333,0.016557333
