TIC,latitude,longitude,Tmag,GAIAmag,Vmag,Jmag,Kmag,Teff,logg,MH,lumclass,rad,e_rad,mass,numcont,contratio,pmRA,pmDEC,Sectors,Epoch,Period,Duration,Depth,Depth,Tmag,Delta Tmag
12862099,-11.93813512,3.903206053,12.3993,12.8964,13.096,11.702,11.341,5480,4.45226,,DWARF,0.963912,0.0542714,0.96,31,0.010312752,15.2812,-30.0474,4,2458343.207,29.17362,8.075,5558.850098,,11.2532,5.637537593
13021029,-26.05415743,75.29966129,11.7231,12.0702,12.489,11.219,11.008,6244.52,4.20862,-0.123681,DWARF,1.43256,0.0567035,1.21,55,0.000566631,0.494681,3.1692,11,2458598.326,1.91693,1.734552,2485.789551,,11.7611,6.511339105
13023378,-28.00783779,347.0535963,11.9221,12.3079,12.511,11.373,11.054,6149,4.43989,,DWARF,1.0794,0.0536482,1.17,40,0.00218244,31.0125,2.94837,15,2458714.681,9.602018,4.980596,445.482605,,8.593,8.377923124
13023738,-29.5903195,347.0847927,12.2524,12.7147,12.971,11.581,11.154,5657,3.97078,,DWARF,1.71254,0.104849,1,33,0.002318344,15.5355,-29.348,1_2,2458326.116,1.738316,1.436749,17370.81055,,14.6723,4.400449791
13349647,-8.026947968,131.5804074,12.212,12.6284,12.836,11.609,11.294,5928,4.50732,-0.01,DWARF,0.959588,0.0442739,1.08,114,0.04729425,-4.07683,-8.71041,10,2458546.003,2.33317,3.18,2620,,10.4879,6.454246772
13419950,41.46235738,305.2893133,9.65306,9.75537,9.803,9.155,9.005,8422,,,,,,,,,5.41556,1.9418,15_16,2458715.17,0.33759,1.32,380,,10.2193,8.550541008
13499636,28.05574493,320.2016468,10.5954,11.0815,11.234,9.921,9.484,5518,4.59176,,DWARF,0.824734,0.044294,0.969,332,0.08404606,52.8348,19.537,12,2458628.963,2.19296,4.586,4933.740234,,10.0196,5.767059301
13684720,36.06457195,305.5380227,12.4647,13.7724,15.6,10.805,9.949,3275,4.75761,,DWARF,0.476997,0.0140438,0.474868,943,1.20428789,44.0407,49.286,16_17_18_19,2458740.862,4.42459,1.389,2350,,8.82374,6.572330344
14091633,-36.46455952,77.26019444,8.8695,9.20363,9.285,8.473,8.205,6434,4.34854,,DWARF,1.26396,0.0558895,1.3,42,0.150032461,-7.17257,18.997,17_18,2458768.089,4.18106,4.574,5180,,9.78876,5.714175601
14091704,-36.59096644,77.32346007,9.1577,9.50024,9.583,8.689,8.412,6240.9,4.08721,-0.38,DWARF,1.64748,0.0748945,1.21,63,0.003358525,21.6596,-15.7099,14_19_20,2458683.653,3.272111,1.869082,400.361786,,10.0556,8.493868455
14165625,-37.70868115,78.03709953,11.3877,12.1336,12.512,10.325,9.612,4317,4.53334,,DWARF,0.7335,0.0631583,0.67,64,0.005192896,21.18,46.5272,13,2458654.107,1.606295,1.974814,18133.39453,,13.461,4.353802223
14336130,56.82443485,105.0829291,8.82897,9.24094,9.406,8.265,7.932,5878.6,4.28196,0.09,DWARF,1.23517,0.0676985,1.065,103,0.006115131,50.8397,-55.9184,16_17_18,2458740.237,2.17026,2.221,6100,,8.65269,5.536675412
14344979,-0.737169784,163.7889731,12.3353,12.8148,13.081,11.639,11.207,5424.82,4.48725,-0.49,DWARF,0.916164,0.0434171,0.94,23,0.001001456,-28.1203,24.0332,2_9,2458365.893,36.222141,5.107,7170,,6.841,5.361202111
14614418,-29.15604277,173.9574046,13.3898,13.8786,14.188,12.736,12.289,5670,4.42812,,DWARF,1.01656,,1.01,,,3.17931,-4.90387,17_18,2458765.325,2.05603,2.829,16570,,10.377,4.451693729
14661418,-29.54332154,174.009746,12.4806,13.1225,13.397,11.556,10.942,4724.49,4.51836,0.024189,DWARF,0.793235,0.0582462,0.757,113,0.004143114,24.9212,-9.90664,14_15_16_19,2458691.561,11.35626,6.047,2190,,10.8475,6.648889713
15247229,38.93226035,306.7308196,9.88658,9.99318,10.02,9.662,9.631,8263,4.3463,,DWARF,1.58394,0.0551759,2.031,838,0.149900228,6.10281,2.19419,13,2458658.327,4.45199,2.109,8483.38,,10.526,5.178577698
15445551,-52.84083319,185.3246918,10.349,10.7091,10.727,9.832,9.552,6458,4.16463,,DWARF,1.56803,0.0719699,1.31,952,0.2322198,-1.35623,3.91856,13,2458654.921,3.25423,4.767944,13504.52539,,11.6577,4.673801686
15565627,39.87718953,307.0166783,10.3332,10.6782,10.73,9.804,9.575,6555.54,3.82948,0.067,DWARF,2.34997,0.145281,1.36,601,0.049207486,-5.50667,-13.746,11,2458600.06,1.74183,1.502,810,,10.1598,7.728787453
15692883,25.6816955,17.47485549,9.7116,10.1318,10.295,9.117,8.79,6064,3.56749,,DWARF,2.89621,0.140201,1.13,38,0.000357603,-24.1729,-10.702,4,2458415.515,6.06054,2.59,22776.59961,,10.7706,4.106277782
15863518,39.8431806,100.5206503,10.618,11.1941,11.436,9.775,9.207,5097.55,4.41876,0.471968,DWARF,0.946,0.0538694,0.856,144,0.058550093,-9.89573,-64.2584,16_17_18_19,2458738.95,6.72694,2.649,1070,,10.3197,7.426540556
16102323,37.50858038,307.3366006,9.3297,9.30319,9.4,9.133,9.143,,,,,,,,,,2.31826,-4.53639,1,2458329.36,6.74709,2.343,19520.90039,,10.0704,4.273750387
16288184,-28.71055964,253.76889,11.0657,11.4668,11.602,10.508,10.217,6218,4.30792,,DWARF,1.27146,0.0635578,1.198,4999,3.921848,-8.56827,-5.56153,22_23,2458899.862,0.633259,0.862201,1191.45972,,9.85649,7.309801588
16740101,39.93882365,307.8598058,7.58204,7.57675,7.55,7.458,7.482,9550,4.10504,,DWARF,2.28773,0.0585327,2.431,256,0.002083116,16.7278,21.4779,16_17,2458739.514,1.91678,1.319,520,,9.7736,8.209991641
16884216,33.90203256,232.863124,8.5049,9.08098,9.366,7.676,7.105,4958,4.66667,,DWARF,0.695992,0.0442211,0.82,57,0.000409036,42.5818,112.198,4,2458411.562,0.818498,0.944231,54403.63672,,15.61,3.16093017
16920150,26.74617467,19.36150488,10.1583,10.6989,11.031,9.425,8.903,5219,4.55718,,DWARF,0.82204,0.047289,0.889,37,0.0441911,55.6364,-51.9741,8_9,2458518.811,3.64222,2.757,510,,9.8174,8.23107456
17005768,26.92574889,20.61056976,9.9176,10.3711,10.56,9.249,8.847,5766,,,DWARF,1.1282,,,46,0.005752138,14.4,-4.7,24,2458767.491,3.75436,2.063,660,,10.1731,7.951140161
17416749,35.69125071,242.2010422,8.63532,8.98342,9.11,8.119,7.891,6398,3.89027,,DWARF,2.12819,0.0925827,1.283,62,0.006727558,-8.05031,-26.8007,12,2458628.404,4.6791,1.786827,2039.352417,,10.4904,6.726269295
17746821,12.13939964,118.0634082,11.3155,11.6722,11.703,10.816,10.5,6321.7,4.0591,-0.134,DWARF,1.72958,0.107337,1.25,126,0.036555585,6.73576,-12.1253,16_17,2458745.467,37.696127,3.538415,2680.754451,,9.92838,6.429357411
17993892,41.02796366,171.274941,11.1065,11.5583,11.459,10.503,10.111,5634,4.24009,0.04,DWARF,1.25599,0.0659674,1,22,0.003841332,-1.08803,13.2426,16_17,2458740.816,2.75347,3.463,2880,,10.4824,6.351518781
19025965,12.88345554,119.6279376,11.4479,12.2118,12.553,10.364,9.626,4138.96,4.43068,0.132533,DWARF,0.811865,0.0660754,0.648,120,0.6218252,-49.0919,-45.465,2,2458362.572,10.45776,3.148,8773.240234,,12.8691,5.142099946
19451711,-7.571279548,124.6028267,7.3645,7.53778,7.59,7.088,6.931,7381,4.12359,,DWARF,1.86219,0.0693166,1.681,173,0.023015972,-32.9705,9.71135,16,2458740.531,4.897647,2.769361,1251.488647,,10.5152,7.256432714
19519368,-6.785848637,124.6958825,10.0854,10.6645,10.846,9.315,8.741,5006.52,4.55333,0.124,DWARF,0.79783,0.0496608,0.83,172,0.03925399,-109.727,-16.8293,14_15_16_17_19,2458685.032,16.68356,2.927,2906.24,,10.364,6.34167131
19684256,-31.26930311,140.0876902,13.1758,13.6269,13.844,12.523,12.114,5790.35,4.43647,-0.284288,DWARF,1.02168,,1.04,,,-20.0138,21.2521,23,2458932.015,2.09098,1.272,19280,,12.8777,4.287232426
20178111,-40.3957704,89.89750047,10.2767,10.7073,10.87,9.693,9.316,5870,4.52095,,DWARF,0.935866,0.0454472,1.06,85,0.062870145,-14.6204,5.77598,1_2_3_4,2458340.304,29.796715,2.945885,638.802551,,8.7513,7.986583396
20182165,38.60522825,226.1813346,7.0166,7.36341,7.50661,6.503,6.276,6327.16,4.37297,,DWARF,1.20505,0.0500201,1.25,36,0.000252152,-15.5296,34.1518,16_17,2458739.141,1.65445,3.194,610,,10.2347,8.036675412
20318757,-29.65319093,167.1337084,10.2103,10.9608,11.308,9.188,8.432,4272,4.59877,,DWARF,0.680275,0.0608191,0.67,107,0.009325758,-87.5544,12.9915,16_17,2458738.93,0.46741,1.25,1592.119995,,8.41718,6.995060509
20892672,-19.48951071,1.399014156,13.105,13.5323,13.582,12.331,11.951,,,,,,,,,,,,9,2458545.139,2.227876,1.443879,16377.96289,,14.3858,4.464350293
21535395,40.98360779,164.7760668,7.6586,8.09023,8.26,7.029,6.687,5723.87,4.49543,,DWARF,0.945408,0.0387764,1.02,31,0.000126369,214.702,25.647,6,2458468.496,1.665878,4.956738,85643.98438,,14.1396,2.668257841
21744120,33.0124831,256.3464483,11.733,12.3682,12.597,10.822,10.234,4790,4.58765,0.14,DWARF,0.740113,0.0496683,0.773,96,0.003444063,-14.0729,-36.6891,15_16_17_18,2458712.089,2.09989,0.908,27336.40039,,10.1688,3.908146683
21755546,30.29733617,292.2867916,8.40386,8.31597,8.35,8.403,8.505,11787,4.09572,,DWARF,2.62432,,3.131,,,2.07173,-1.71448,17_18,2458765.067,2.0139,1.661,690,,10.3654,7.902877273
21832928,32.10548401,256.9826233,6.6813,7.06642,7.22142,6.117,5.821,5991.11,4.37711,-0.11,DWARF,1.12506,0.042211,1.1,109,0.059910484,-162.014,-42.1228,13,2458654.609,2.45466,2.331,4220,,9.6789,5.936718873
22221375,-24.09938772,149.1243507,7.3635,7.7713,7.93,6.839,6.463,5940.41,4.44647,0.0169231,DWARF,1.03399,0.0417488,1.09,109,0.002188597,-177.111,46.8668,5,2458441.299,2.96844,3.663,13028,,9.87405,4.712805625
22529346,-39.09738071,107.6002525,10.056,10.3746,10.514,9.625,9.374,6776,4.23431,,DWARF,1.52253,0.0604824,1.45,295,0.1383218,-3.84814,25.6065,20,2458843.708,1.20143,0.62,2330,,10.6414,6.581610197
22705558,46.20371485,125.1887773,10.8756,11.3271,11.402,10.251,9.852,5654.41,4.4065,0.139,DWARF,1.03909,0.0568342,1.004,57,0.009267442,-5.154,-25.6851,10_11,2458571.797,1.30924,2.535,3370,,9.8678,6.180925248
22843856,25.58853387,39.00649912,9.8203,10.2931,10.511,9.135,8.761,6019,,,DWARF,1.23599,,,53,0.002953337,4.7,-17,10_11,2458570.225,2.796723,2.375959,416.271973,,8.7537,8.451557071
