TIC,latitude,longitude
128501004,37.84079398,339.0337782
142381532,63.75379097,196.2203561
341729521,-59.57978688,121.3199015
395142888,59.56082161,335.3008552
354400186,48.35234601,27.737993
25375553,-22.61258127,328.7676784
44792534,-25.2086753,61.94108623
234345288,-71.62416157,38.88659659
230075227,68.89451394,244.3769943
380783252,-60.92183441,269.7144654
327011842,45.01032386,23.4667796
140068425,-49.06001097,330.3015634
237185205,37.72002396,283.5266903
349373192,-60.15552887,110.261058
392476080,16.57995517,253.186335
366074069,69.04957072,356.7706571
47911178,-23.4861936,98.35111367
50309953,-77.61023261,30.19732217
237808867,5.748036131,104.4799028
142918609,-19.51603139,119.3499657
58542531,27.82254642,65.97972838
405794804,65.03915669,324.7143091
146208651,-48.81259307,133.4576892
44797824,-26.02197664,62.45451203
287196418,59.40385109,292.7341238
233617847,64.5313395,283.794511
149302744,-62.10912294,83.38231672
64836837,55.03104903,338.7965768
159418353,83.25819467,240.1773557
50312495,-73.12716655,31.17769689
308919449,-65.85234501,122.6182203
299023386,-53.56164964,143.4664509
400595342,-49.00059556,134.4417833
375059587,-63.33924587,100.1041403
22843856,25.58853387,39.00649912
293687315,59.4442469,216.5239895
9828416,33.20508566,261.0964351
190430205,46.220223,324.9225303
127425841,40.16561845,6.030682532
49687222,-11.72537486,351.7055039
134404603,-39.16491887,122.3402676
103448870,73.0238567,66.8346835
353367071,33.50699714,89.93486334
74534430,-45.09751565,137.6713439
199688472,57.97400474,253.1403043
55525572,-60.90544883,72.69404327
165987272,30.64007771,195.9818618
123898871,-19.04086673,90.91603057
462162948,-59.85004255,150.4337122
31852980,-70.39958377,52.54054618
119584412,23.02685511,175.5765586
393911494,44.91202689,207.1786264
156199502,83.43765328,181.0738794
235037761,-64.56178342,353.82678
231670397,-58.14888695,319.9496108
102672709,66.11962216,61.73104316
354600221,57.88176878,6.074650354
458857720,-59.92519026,161.0468668
285542903,60.61811639,13.27002458
356590734,-78.80163654,172.157304
61098812,-0.128064925,205.4542925
185405474,45.49919605,301.7176342
449050248,5.298469822,67.55231063
112026224,24.20143979,292.2233271
278348461,18.10483332,303.1953613
194203348,41.59400592,1.196959298
160708862,-42.70494142,227.2703877
138168780,73.82766444,94.79321242
15247229,38.93226035,306.7308196
142378043,-31.64567636,181.6324635
177244357,47.65568628,356.9957578
250386181,-4.985566067,30.11436667
233684822,64.86223562,260.9032015
372757221,81.32221276,162.8932354
201248411,-54.83051491,0.187122325
356978132,56.87827405,273.7816305
9837861,54.2920691,70.5485585
49079670,-23.81928937,101.0718482
136848581,43.5519525,317.747943
356747847,-78.16301952,175.3360195
150151262,-65.82597211,92.93613709
144956678,-35.55948936,122.0686445
137906197,55.54007552,152.1029472
220396259,-56.13870051,68.89155599
17005768,26.92574889,20.61056976
377290815,56.62949144,286.5930918
103633434,69.2765456,152.2158624
451645081,-54.78423658,172.1565267
141363913,-43.04201293,129.4624131
289539327,65.71490081,251.6337065
9006668,-18.60664543,349.2313233
376838000,69.0919169,340.9095043
12421862,-27.12213329,2.268159921
408636441,62.75386139,326.8532929
461662295,51.01058012,124.4469306
365733349,65.60907873,313.1665785
460205581,-64.50525936,157.0374608
207081058,-41.81546905,331.8672303
339857675,-54.45217524,111.6010883
229742722,69.52292495,279.8316153
237232044,76.13908381,297.4002608
455135327,5.836764462,123.9499189
83210867,34.82961842,297.4593296
295599256,-68.19771921,274.2215443
305424003,-62.84022007,262.1834202
233087860,60.67819001,272.2039491
118021229,-20.94061336,128.4753276
312469860,55.71102921,12.88130299
258777137,71.71230205,286.7473992
162130054,31.01877402,331.1176818
323295479,-83.06100025,130.7986487
77527511,-5.375494201,142.2629552
55452495,-64.8851982,70.67039343
167031605,11.83263143,93.92102362
238898571,-49.75625329,93.72952949
